ODMAP element,Contents
Overview,
Authorship,"Authors: Sarah J. Hart, Asha Paudel, and Maxwell C. Cook"
,Contact email: sarah.hart@colostate.edu
,Title: Climate-driven decreases in aspen's distribution and opportunities for future expansion across the Southern Rocky Mountains
,DOI: 10.5061/dryad.t76hdr88v
Model objective,"Objective: Inference, Mapping, and Forecasting"
,"Target outputs: continuous occurrence probabilities, binary maps of potential presence, and maps of potential loss, gain, and stable habitat"
Taxon,Quaking aspen (Populus tremuloides)
Location,"Southern Rocky Mountains, US"
Scale of analysis,"Spatial extent (Lon/Lat): Longitude 103.86 ¡ W - 109.61 ¡ W, Latitude 35.28 ¡ N - 47.78 ¡ N"
,Spatial resolution: 90 x 90 m
,Temporal resolution and extent: We modelled the presence of aspen based on remotely sensed maps generated from imagery collected in ca. 2019 (Cook et al. 2024).
,Type of extent boundary: ecoregion (Southern Rocky Mountains)
Biodiversity data overview,Observation type: remotely sensed
,Response type: presence/absence
Type of predictors,"Climatic, topographic, edaphic"
Conceptual model / Hypotheses,"Based on previous studies, we tested climate, topography and edaphic factors as important environmental predictor variables for aspen presence in the Southern Rocky Mountains. For detailed hypotheses, see Table 1."
Assumptions,"We make the following key assumptions:
(1) aspen is at pseudo-equilibrium with the environment
(2) topography, climate, and soil conditions are the key drivers of aspen's distribution
(3) classification error (average F1-score of 0.91) in maps of aspen occurrence were negligible
(4) the relationship fit under current conditions apply to future climate conditions (i.e., no change in key limiting processes)"
SDM algorithms,"Algorithms: SDMs were fit using four different algorithms: generalized linear models (GLMs), generalized additive models (GAMs), regularized gradient boosted trees (RGBTs), and random forests (RFs)."
,Model complexity: We chose different modelling parameters to optimize each statistical technique.
,Ensembles: We combined the four SDMs to generate an ensemble prediction
Model workflow,"Prior to model building, all predictor variables were standardized. Model hyperparameters were then tuned using a spatial cross-validation approach, with the best parameters selected using the area under the receiver operating characteristic curve (AUC)."
Software,Software: All analyses were conducted using R version 4.3.1 (R Core Team 2023).
,Code availability: http://datadryad.org/stash/share/gGubdiD6hCORznmbeHB6gkWoxodyj25Soa3s3yfOfHg
,Data availability: http://datadryad.org/stash/share/gGubdiD6hCORznmbeHB6gkWoxodyj25Soa3s3yfOfHg
Data,
Biodiversity data,Taxon names: Trembling aspen (Populus tremuloides)
,"Taxonomic reference system: US Department of Agriculture (USDA) Plant List of Attributes, Names, Taxonomy, and Symbols (PLANTS) Database"
,Ecological level: population
,Data source: Aspen presence-absence data at 10x10 m spatial resolution were obtained from Cook et al. (2024).
,Sampling design: The aspen cover dataset represents an entire census for the Southern Rocky Mountains.
,"Sample size: The aspen dataset consists of 4,312,302,640 10 x 10 m cells, of which 117,140,964 recorded the presence of aspen. "
,Ecoregion mask: We clipped all data to the Southern Rocky Mountain Ecoregion using data from the EPA's (2013) Level III Ecoregions of the Conterminous United States product.
,Scaling: We aggregated the aspen presence-absence data to a 90 x 90 m cell size.
,Data filtering:  NA
,Absence data: The Cook et al. (2024) map consists of both presence and absence data.
Data partitioning,"To reduce computation time, we randomly selected 10,000 cells for model building and 10,000 cells model testing. To reduce the potential effects of spatial autocorrelation, all sample points were separated by a distance of at least 1 km. "
Environmental data/predictor variables,"Predictor variables: 
(1) Topography: topographic position index, heat load index (HLI)
(2) Climate: We examined 34 biologically-relevancy climate variables, but ultimately limited our analyses to five climate variables (see Table 1)
(3) Soils: percent clay, percent soil organic matter, saturated water content"
,"Data sources: 
(1) Topography: 3DEP DEM (USGS 2023).
(2) Climate: AdaptWest Project (2022)
(3) Soils:  POLARIS soil properties database (Cheney et al. 2019)."
,"Spatial resolution and extent of raw data: All data were available for the entire study area.
(1) Topography: 30 m
(2) Climate: 1 km
(3) Soils: 30 m"
,"Temporal resolution and extent of raw data: 
(1) Topography: raw topographic data were collected over the period 2009-2023
(2) Climate: monthly and annual means for the periods 1981-2010, 2011-2040, 2041-2070, and 2071-2100 
(3) Soils: represent National Cooperative Soil Survey data collected over the 1899 to 2019 period"
