"layer","value","count","scenario","area"
"2011-2040","present &
unsuitable habitat",682479,"SSP2-4.5",5528
"2011-2040","present &
habitat loss",861711,"SSP2-4.5",6980
"2011-2040","absent &
habitat loss",1695161,"SSP2-4.5",13731
"2011-2040","absent &
unsuitable habitat",10449438,"SSP2-4.5",84640
"2011-2040","present &
habitat stable",2340484,"SSP2-4.5",18958
"2011-2040","absent &
habitat stable",1874107,"SSP2-4.5",15180
"2011-2040","present &
habitat gain",15078,"SSP2-4.5",122
"2011-2040","absent &
habitat gain",96509,"SSP2-4.5",782
"2041-2070","present &
unsuitable habitat",628002,"SSP2-4.5",5087
"2041-2070","present &
habitat loss",832672,"SSP2-4.5",6745
"2041-2070","absent &
habitat loss",1488222,"SSP2-4.5",12055
"2041-2070","absent &
unsuitable habitat",10092550,"SSP2-4.5",81750
"2041-2070","present &
habitat stable",2369523,"SSP2-4.5",19193
"2041-2070","absent &
habitat stable",2081046,"SSP2-4.5",16856
"2041-2070","present &
habitat gain",69555,"SSP2-4.5",563
"2041-2070","absent &
habitat gain",453397,"SSP2-4.5",3673
"2071-2100","present &
unsuitable habitat",601147,"SSP2-4.5",4869
"2071-2100","present &
habitat loss",892494,"SSP2-4.5",7229
"2071-2100","absent &
habitat loss",1520479,"SSP2-4.5",12316
"2071-2100","absent &
unsuitable habitat",9851124,"SSP2-4.5",79794
"2071-2100","present &
habitat stable",2309701,"SSP2-4.5",18709
"2071-2100","absent &
habitat stable",2048789,"SSP2-4.5",16595
"2071-2100","present &
habitat gain",96410,"SSP2-4.5",781
"2071-2100","absent &
habitat gain",694823,"SSP2-4.5",5628
"2011-2040","present &
unsuitable habitat",674736,"SSP5-8.5",5465
"2011-2040","present &
habitat loss",943630,"SSP5-8.5",7643
"2011-2040","absent &
habitat loss",1750303,"SSP5-8.5",14177
"2011-2040","absent &
unsuitable habitat",10402488,"SSP5-8.5",84260
"2011-2040","present &
habitat stable",2258565,"SSP5-8.5",18294
"2011-2040","absent &
habitat stable",1818965,"SSP5-8.5",14734
"2011-2040","present &
habitat gain",22821,"SSP5-8.5",185
"2011-2040","absent &
habitat gain",143459,"SSP5-8.5",1162
"2041-2070","present &
unsuitable habitat",599900,"SSP5-8.5",4859
"2041-2070","present &
habitat loss",943776,"SSP5-8.5",7645
"2041-2070","absent &
habitat loss",1559552,"SSP5-8.5",12632
"2041-2070","absent &
unsuitable habitat",9836645,"SSP5-8.5",79677
"2041-2070","present &
habitat stable",2258419,"SSP5-8.5",18293
"2041-2070","absent &
habitat stable",2009716,"SSP5-8.5",16279
"2041-2070","present &
habitat gain",97657,"SSP5-8.5",791
"2041-2070","absent &
habitat gain",709302,"SSP5-8.5",5745
"2071-2100","present &
unsuitable habitat",568868,"SSP5-8.5",4608
"2071-2100","present &
habitat loss",945475,"SSP5-8.5",7658
"2071-2100","absent &
habitat loss",1566325,"SSP5-8.5",12687
"2071-2100","absent &
unsuitable habitat",9330009,"SSP5-8.5",75573
"2071-2100","present &
habitat stable",2256720,"SSP5-8.5",18279
"2071-2100","absent &
habitat stable",2002943,"SSP5-8.5",16224
"2071-2100","present &
habitat gain",128689,"SSP5-8.5",1042
"2071-2100","absent &
habitat gain",1215938,"SSP5-8.5",9849
