"var","dropout_loss"
"ADI",17.9022741283978
"bFFP",1.62284423697696
"CMD",2.43926993496614
"CMI",10.9910070418292
"DD_0",2.78344276583217
"DD_18",4.8095639914584
"DD1040",2.79710575981864
"DD18",1.85005690410148
"DD5",3.45830052553723
"eFFP",1.53339764007462
"EMT",1.74463229242747
"Eref",2.2677210769566
"EXT",1.65229799920879
"FFP",1.59369556523973
"GSP",1.75257047401074
"GSPDD5",13.000148459981
"MAP",3.34922544236542
"MAR",1.37311116366353
"MAT",1.88221599551698
"MCMT",1.99156400324713
"MWMT",1.68554507728129
"NFFD",1.74244821987643
"PAS",3.06294913599485
"PPT_at",2.97676877505769
"PPT_sm",1.58942634476545
"PPT_sp",2.12676262681279
"PPT_wt",2.68509261018491
"PRATIO",15.7691702950016
"RH",1.19653823953446
"Tave_at",1.8098812695119
"Tave_sm",1.73838815180151
"Tave_sp",1.82380443952196
"Tave_wt",1.944176607397
"TD",1.56591992144767
"TMAX",1.84447213937981
