"name","Years","scenario","mean"
"ADI","1981-2010","historical",0.0560652986906469
"GSPDD5","1981-2010","historical",404.165772201538
"PRATIO","1981-2010","historical",0.490729519543052
"TD","1981-2010","historical",21.5036515886307
"ADI","2011-2040","SSP5-8.5",0.0656641089104116
"GSPDD5","2011-2040","SSP5-8.5",467.278767393494
"PRATIO","2011-2040","SSP5-8.5",0.484107492056489
"TD","2011-2040","SSP5-8.5",22.9618285552978
"ADI","2041-2070","SSP5-8.5",0.0719653097789735
"GSPDD5","2041-2070","SSP5-8.5",565.788608743286
"PRATIO","2041-2070","SSP5-8.5",0.473750633212924
"TD","2041-2070","SSP5-8.5",23.187991840744
"ADI","2071-2100","SSP5-8.5",0.0786817708523944
"GSPDD5","2071-2100","SSP5-8.5",714.241458520508
"PRATIO","2071-2100","SSP5-8.5",0.468859155881405
"TD","2071-2100","SSP5-8.5",22.9299384923935
