"","ADI","bFFP","CMD","CMI","DD_0","DD_18","DD1040","DD18","DD5","eFFP","EMT","Eref","EXT","FFP","GSP","GSPDD5","MAP","MAR","MAT","MCMT","MWMT","NFFD","PAS","PPT_at","PPT_sm","PPT_sp","PPT_wt","PRATIO","RH","Tave_at","Tave_sm","Tave_sp","Tave_wt","TD","TMAX"
"ADI",1,-0.69,0.91,-0.94,-0.65,-0.74,0.8,0.75,0.8,0.59,0.5,0.81,0.78,0.66,-0.71,0.43,-0.88,-0.3,0.75,0.57,0.78,0.65,-0.83,-0.81,-0.22,-0.83,-0.82,0.69,-0.32,0.76,0.78,0.78,0.61,0.48,0.82
"bFFP",-0.69,1,-0.67,0.72,0.91,0.95,-0.95,-0.86,-0.95,-0.96,-0.91,-0.83,-0.78,-0.99,0.33,-0.86,0.51,0.12,-0.95,-0.89,-0.92,-0.98,0.74,0.43,-0.01,0.54,0.52,-0.45,-0.17,-0.94,-0.93,-0.94,-0.91,-0.28,-0.82
"CMD",0.91,-0.67,1,-0.92,-0.65,-0.77,0.83,0.76,0.83,0.6,0.44,0.89,0.85,0.64,-0.79,0.43,-0.79,-0.24,0.78,0.54,0.82,0.64,-0.76,-0.67,-0.38,-0.8,-0.65,0.43,-0.46,0.78,0.82,0.82,0.59,0.58,0.89
"CMI",-0.94,0.72,-0.92,1,0.73,0.81,-0.82,-0.72,-0.84,-0.64,-0.53,-0.88,-0.83,-0.69,0.74,-0.51,0.93,0.29,-0.81,-0.63,-0.82,-0.69,0.94,0.85,0.21,0.9,0.87,-0.66,0.39,-0.82,-0.83,-0.84,-0.67,-0.47,-0.87
"DD_0",-0.65,0.91,-0.65,0.73,1,0.98,-0.88,-0.74,-0.91,-0.92,-0.89,-0.88,-0.75,-0.93,0.29,-0.87,0.51,0.07,-0.97,-0.96,-0.88,-0.94,0.81,0.44,-0.13,0.59,0.53,-0.47,0.01,-0.97,-0.9,-0.95,-0.98,-0.11,-0.81
"DD_18",-0.74,0.95,-0.77,0.81,0.98,1,-0.96,-0.83,-0.98,-0.94,-0.86,-0.94,-0.86,-0.95,0.4,-0.87,0.58,0.14,-1,-0.92,-0.95,-0.96,0.83,0.49,0,0.64,0.57,-0.47,0.06,-1,-0.97,-0.99,-0.94,-0.29,-0.9
"DD1040",0.8,-0.95,0.83,-0.82,-0.88,-0.96,1,0.93,1,0.9,0.81,0.93,0.91,0.94,-0.47,0.81,-0.6,-0.21,0.97,0.83,0.98,0.93,-0.77,-0.5,-0.14,-0.61,-0.56,0.44,-0.06,0.96,0.98,0.97,0.86,0.46,0.94
"DD18",0.75,-0.86,0.76,-0.72,-0.74,-0.83,0.93,1,0.91,0.77,0.73,0.83,0.78,0.83,-0.38,0.72,-0.51,-0.2,0.85,0.74,0.86,0.81,-0.62,-0.45,-0.09,-0.5,-0.5,0.44,-0.04,0.84,0.86,0.85,0.77,0.39,0.81
"DD5",0.8,-0.95,0.83,-0.84,-0.91,-0.98,1,0.91,1,0.92,0.82,0.94,0.9,0.94,-0.47,0.83,-0.61,-0.19,0.98,0.85,0.98,0.94,-0.8,-0.51,-0.11,-0.63,-0.57,0.45,-0.08,0.98,0.99,0.99,0.88,0.43,0.94
"eFFP",0.59,-0.96,0.6,-0.64,-0.92,-0.94,0.9,0.77,0.92,1,0.91,0.8,0.75,0.99,-0.29,0.86,-0.41,-0.05,0.94,0.88,0.9,0.99,-0.7,-0.32,0,-0.48,-0.41,0.32,0.22,0.93,0.91,0.92,0.9,0.26,0.79
"EMT",0.5,-0.91,0.44,-0.53,-0.89,-0.86,0.81,0.73,0.82,0.91,1,0.68,0.62,0.92,-0.11,0.86,-0.33,-0.12,0.87,0.92,0.79,0.94,-0.63,-0.32,0.15,-0.35,-0.39,0.4,0.41,0.85,0.8,0.82,0.92,0.03,0.65
"Eref",0.81,-0.83,0.89,-0.88,-0.88,-0.94,0.93,0.83,0.94,0.8,0.68,1,0.86,0.83,-0.51,0.75,-0.65,-0.15,0.94,0.81,0.9,0.83,-0.82,-0.56,-0.06,-0.72,-0.6,0.48,-0.33,0.95,0.92,0.96,0.85,0.36,0.92
"EXT",0.78,-0.78,0.85,-0.83,-0.75,-0.86,0.91,0.78,0.9,0.75,0.62,0.86,1,0.77,-0.62,0.65,-0.65,-0.39,0.86,0.63,0.95,0.79,-0.75,-0.53,-0.38,-0.6,-0.55,0.36,-0.22,0.85,0.94,0.87,0.66,0.69,0.99
"FFP",0.66,-0.99,0.64,-0.69,-0.93,-0.95,0.94,0.83,0.94,0.99,0.92,0.83,0.77,1,-0.31,0.87,-0.47,-0.09,0.96,0.9,0.92,0.99,-0.73,-0.38,0.01,-0.52,-0.47,0.39,0.2,0.95,0.93,0.94,0.92,0.27,0.81
"GSP",-0.71,0.33,-0.79,0.74,0.29,0.4,-0.47,-0.38,-0.47,-0.29,-0.11,-0.51,-0.62,-0.31,1,0.06,0.79,0.23,-0.4,-0.13,-0.53,-0.32,0.6,0.62,0.73,0.74,0.54,-0.15,0.37,-0.41,-0.52,-0.45,-0.17,-0.69,-0.63
"GSPDD5",0.43,-0.86,0.43,-0.51,-0.87,-0.87,0.81,0.72,0.83,0.86,0.86,0.75,0.65,0.87,0.06,1,-0.24,-0.11,0.86,0.89,0.78,0.87,-0.59,-0.25,0.32,-0.29,-0.35,0.45,0.13,0.86,0.8,0.84,0.89,0.05,0.68
"MAP",-0.88,0.51,-0.79,0.93,0.51,0.58,-0.6,-0.51,-0.61,-0.41,-0.33,-0.65,-0.65,-0.47,0.79,-0.24,1,0.33,-0.58,-0.41,-0.61,-0.47,0.89,0.94,0.25,0.91,0.94,-0.7,0.37,-0.59,-0.61,-0.61,-0.44,-0.43,-0.68
"MAR",-0.3,0.12,-0.24,0.29,0.07,0.14,-0.21,-0.2,-0.19,-0.05,-0.12,-0.15,-0.39,-0.09,0.23,-0.11,0.33,1,-0.14,-0.03,-0.26,-0.11,0.22,0.4,0.25,0.09,0.32,-0.31,0.03,-0.13,-0.24,-0.15,-0.03,-0.37,-0.33
"MAT",0.75,-0.95,0.78,-0.81,-0.97,-1,0.97,0.85,0.98,0.94,0.87,0.94,0.86,0.96,-0.4,0.86,-0.58,-0.14,1,0.92,0.96,0.96,-0.82,-0.49,-0.01,-0.63,-0.57,0.48,-0.05,1,0.97,0.99,0.94,0.3,0.9
"MCMT",0.57,-0.89,0.54,-0.63,-0.96,-0.92,0.83,0.74,0.85,0.88,0.92,0.81,0.63,0.9,-0.13,0.89,-0.41,-0.03,0.92,1,0.79,0.9,-0.72,-0.38,0.27,-0.49,-0.48,0.5,0.09,0.91,0.81,0.89,1,-0.08,0.69
"MWMT",0.78,-0.92,0.82,-0.82,-0.88,-0.95,0.98,0.86,0.98,0.9,0.79,0.9,0.95,0.92,-0.53,0.78,-0.61,-0.26,0.96,0.79,1,0.93,-0.78,-0.49,-0.24,-0.6,-0.54,0.39,-0.05,0.95,1,0.96,0.82,0.55,0.97
"NFFD",0.65,-0.98,0.64,-0.69,-0.94,-0.96,0.93,0.81,0.94,0.99,0.94,0.83,0.79,0.99,-0.32,0.87,-0.47,-0.11,0.96,0.9,0.93,1,-0.73,-0.39,-0.01,-0.51,-0.46,0.38,0.21,0.95,0.94,0.94,0.92,0.28,0.82
"PAS",-0.83,0.74,-0.76,0.94,0.81,0.83,-0.77,-0.62,-0.8,-0.7,-0.63,-0.82,-0.75,-0.73,0.6,-0.59,0.89,0.22,-0.82,-0.72,-0.78,-0.73,1,0.83,0.02,0.89,0.89,-0.7,0.24,-0.83,-0.8,-0.83,-0.74,-0.29,-0.8
"PPT_at",-0.81,0.43,-0.67,0.85,0.44,0.49,-0.5,-0.45,-0.51,-0.32,-0.32,-0.56,-0.53,-0.38,0.62,-0.25,0.94,0.4,-0.49,-0.38,-0.49,-0.39,0.83,1,0.07,0.8,0.93,-0.81,0.31,-0.5,-0.5,-0.52,-0.4,-0.28,-0.56
"PPT_sm",-0.22,-0.01,-0.38,0.21,-0.13,0,-0.14,-0.09,-0.11,0,0.15,-0.06,-0.38,0.01,0.73,0.32,0.25,0.25,-0.01,0.27,-0.24,-0.01,0.02,0.07,1,0.1,-0.03,0.39,0.11,0,-0.2,-0.04,0.24,-0.75,-0.32
"PPT_sp",-0.83,0.54,-0.8,0.9,0.59,0.64,-0.61,-0.5,-0.63,-0.48,-0.35,-0.72,-0.6,-0.52,0.74,-0.29,0.91,0.09,-0.63,-0.49,-0.6,-0.51,0.89,0.8,0.1,1,0.84,-0.6,0.43,-0.65,-0.62,-0.67,-0.52,-0.31,-0.66
"PPT_wt",-0.82,0.52,-0.65,0.87,0.53,0.57,-0.56,-0.5,-0.57,-0.41,-0.39,-0.6,-0.55,-0.47,0.54,-0.35,0.94,0.32,-0.57,-0.48,-0.54,-0.46,0.89,0.93,-0.03,0.84,1,-0.87,0.3,-0.58,-0.56,-0.59,-0.5,-0.23,-0.59
"PRATIO",0.69,-0.45,0.43,-0.66,-0.47,-0.47,0.44,0.44,0.45,0.32,0.4,0.48,0.36,0.39,-0.15,0.45,-0.7,-0.31,0.48,0.5,0.39,0.38,-0.7,-0.81,0.39,-0.6,-0.87,1,-0.19,0.48,0.41,0.47,0.5,-0.04,0.4
"RH",-0.32,-0.17,-0.46,0.39,0.01,0.06,-0.06,-0.04,-0.08,0.22,0.41,-0.33,-0.22,0.2,0.37,0.13,0.37,0.03,-0.05,0.09,-0.05,0.21,0.24,0.31,0.11,0.43,0.3,-0.19,1,-0.09,-0.06,-0.12,0.06,-0.19,-0.25
"Tave_at",0.76,-0.94,0.78,-0.82,-0.97,-1,0.96,0.84,0.98,0.93,0.85,0.95,0.85,0.95,-0.41,0.86,-0.59,-0.13,1,0.91,0.95,0.95,-0.83,-0.5,0,-0.65,-0.58,0.48,-0.09,1,0.96,0.99,0.94,0.29,0.9
"Tave_sm",0.78,-0.93,0.82,-0.83,-0.9,-0.97,0.98,0.86,0.99,0.91,0.8,0.92,0.94,0.93,-0.52,0.8,-0.61,-0.24,0.97,0.81,1,0.94,-0.8,-0.5,-0.2,-0.62,-0.56,0.41,-0.06,0.96,1,0.97,0.84,0.51,0.97
"Tave_sp",0.78,-0.94,0.82,-0.84,-0.95,-0.99,0.97,0.85,0.99,0.92,0.82,0.96,0.87,0.94,-0.45,0.84,-0.61,-0.15,0.99,0.89,0.96,0.94,-0.83,-0.52,-0.04,-0.67,-0.59,0.47,-0.12,0.99,0.97,1,0.92,0.34,0.92
"Tave_wt",0.61,-0.91,0.59,-0.67,-0.98,-0.94,0.86,0.77,0.88,0.9,0.92,0.85,0.66,0.92,-0.17,0.89,-0.44,-0.03,0.94,1,0.82,0.92,-0.74,-0.4,0.24,-0.52,-0.5,0.5,0.06,0.94,0.84,0.92,1,-0.02,0.73
"TD",0.48,-0.28,0.58,-0.47,-0.11,-0.29,0.46,0.39,0.43,0.26,0.03,0.36,0.69,0.27,-0.69,0.05,-0.43,-0.37,0.3,-0.08,0.55,0.28,-0.29,-0.28,-0.75,-0.31,-0.23,-0.04,-0.19,0.29,0.51,0.34,-0.02,1,0.63
"TMAX",0.82,-0.82,0.89,-0.87,-0.81,-0.9,0.94,0.81,0.94,0.79,0.65,0.92,0.99,0.81,-0.63,0.68,-0.68,-0.33,0.9,0.69,0.97,0.82,-0.8,-0.56,-0.32,-0.66,-0.59,0.4,-0.25,0.9,0.97,0.92,0.73,0.63,1
