"layer","value","count","prop","scenario","years","distance","sum"
1,4,1072,0.0111077723321141,"SSP2-4.5","2011-2040","90",0.0111077723321141
1,8,9159,0.094903066035292,"SSP2-4.5","2011-2040","180",0.106010838367406
1,12,21928,0.227211969868095,"SSP2-4.5","2011-2040","270",0.333222808235501
1,16,14860,0.153975276917179,"SSP2-4.5","2011-2040","540",0.48719808515268
1,20,21553,0.22332632189744,"SSP2-4.5","2011-2040","1080",0.71052440705012
1,24,27904,0.289133655928463,"SSP2-4.5","2011-2040","2070",0.999658062978582
1,-4,33,0.000341937021417692,"SSP2-4.5","2011-2040",">2070",1
2,4,8490,0.0187253113717118,"SSP2-4.5","2041-2070","90",0.0187253113717118
2,8,49480,0.109131732234664,"SSP2-4.5","2041-2070","180",0.127857043606376
2,12,103511,0.228301025370702,"SSP2-4.5","2041-2070","270",0.356158068977077
2,16,68555,0.151203029574523,"SSP2-4.5","2041-2070","540",0.5073610985516
2,20,96983,0.213903047439661,"SSP2-4.5","2041-2070","1080",0.721264145991262
2,24,125846,0.277562489385682,"SSP2-4.5","2041-2070","2070",0.998826635376943
2,-4,532,0.00117336462305661,"SSP2-4.5","2041-2070",">2070",1
3,4,16043,0.0230893335424993,"SSP2-4.5","2071-2100","90",0.0230893335424993
3,8,84560,0.121700058863912,"SSP2-4.5","2071-2100","180",0.144789392406411
3,12,165600,0.238334079326677,"SSP2-4.5","2071-2100","270",0.383123471733089
3,16,105198,0.151402587421545,"SSP2-4.5","2071-2100","540",0.534526059154634
3,20,143268,0.206193519788493,"SSP2-4.5","2071-2100","1080",0.740719578943127
3,24,178914,0.257495793892833,"SSP2-4.5","2071-2100","2070",0.99821537283596
3,-4,1240,0.00178462716404034,"SSP2-4.5","2071-2100",">2070",1
1,4,1914,0.0133417910343722,"SSP5-8.5","2011-2040","90",0.0133417910343722
1,8,14253,0.0993524282199095,"SSP5-8.5","2011-2040","180",0.112694219254282
1,12,32259,0.224865641054238,"SSP5-8.5","2011-2040","270",0.33755986030852
1,16,21789,0.151883116430478,"SSP5-8.5","2011-2040","540",0.489442976738999
1,20,31559,0.219986198147206,"SSP5-8.5","2011-2040","1080",0.709429174886204
1,24,41581,0.289845879310465,"SSP5-8.5","2011-2040","2070",0.99927505419667
1,-4,104,0.000724945803330568,"SSP5-8.5","2011-2040",">2070",1
2,4,17545,0.0247355851245309,"SSP5-8.5","2041-2070","90",0.0247355851245309
2,8,87230,0.122980056449862,"SSP5-8.5","2041-2070","180",0.147715641574393
2,12,168863,0.238069256818675,"SSP5-8.5","2041-2070","270",0.385784898393068
2,16,106936,0.150762298710563,"SSP5-8.5","2041-2070","540",0.536547197103632
2,20,145603,0.205276454880996,"SSP5-8.5","2041-2070","1080",0.741823651984627
2,24,181608,0.256037625722189,"SSP5-8.5","2041-2070","2070",0.997861277706816
2,-4,1517,0.002138722293184,"SSP5-8.5","2041-2070",">2070",1
3,4,44100,0.0362682965743319,"SSP5-8.5","2071-2100","90",0.0362682965743319
3,8,193948,0.15950484317457,"SSP5-8.5","2071-2100","180",0.195773139748902
3,12,313788,0.258062499897199,"SSP5-8.5","2071-2100","270",0.4538356396461
3,16,176978,0.145548539481454,"SSP5-8.5","2071-2100","540",0.599384179127554
3,20,224209,0.184391802871528,"SSP5-8.5","2071-2100","1080",0.783775981999082
3,24,257937,0.21213005926289,"SSP5-8.5","2071-2100","2070",0.995906041261972
3,-4,4978,0.00409395873802776,"SSP5-8.5","2071-2100",">2070",1
