"layer","value","count","prop","scenario","years","distance","sum"
1,2,812977,0.433794335115338,"SSP2-4.5","2011-2040","90",0.433794335115338
1,4,406223,0.216755500086174,"SSP2-4.5","2011-2040","180",0.650549835201512
1,6,269181,0.143631606946668,"SSP2-4.5","2011-2040","270",0.79418144214818
1,8,279221,0.148988825077757,"SSP2-4.5","2011-2040","540",0.943170267225937
1,10,88924,0.0474487315825617,"SSP2-4.5","2011-2040","1080",0.990618998808499
1,12,15030,0.00801981957273517,"SSP2-4.5","2011-2040","2070",0.998638818381234
1,14,2519,0.00134410681994144,"SSP2-4.5","2011-2040","5040",0.999982925201176
1,16,32,1.70747988241867e-05,"SSP2-4.5","2011-2040",">5040",1
2,2,866946,0.416591464100265,"SSP2-4.5","2041-2070","90",0.416591464100265
2,4,450696,0.216571858574967,"SSP2-4.5","2041-2070","180",0.633163322675232
2,6,307018,0.147530616814813,"SSP2-4.5","2041-2070","270",0.780693939490045
2,8,326312,0.15680191595957,"SSP2-4.5","2041-2070","540",0.937495855449615
2,10,107606,0.0517076508640366,"SSP2-4.5","2041-2070","1080",0.989203506313652
2,12,19513,0.00937653468496131,"SSP2-4.5","2041-2070","2070",0.998580040998613
2,14,2942,0.00141371214283586,"SSP2-4.5","2041-2070","5040",0.999993753141449
2,16,13,6.24685855094025e-06,"SSP2-4.5","2041-2070",">5040",1
3,2,849111,0.414445313792684,"SSP2-4.5","2071-2100","90",0.414445313792684
3,4,443787,0.216609421467999,"SSP2-4.5","2071-2100","180",0.631054735260683
3,6,303755,0.14826075305949,"SSP2-4.5","2071-2100","270",0.779315488320173
3,8,323484,0.157890344003214,"SSP2-4.5","2071-2100","540",0.937205832323387
3,10,106351,0.0519092009962959,"SSP2-4.5","2071-2100","1080",0.989115033319683
3,12,19503,0.00951928187822172,"SSP2-4.5","2071-2100","2070",0.998634315197905
3,14,2791,0.001362268149624,"SSP2-4.5","2071-2100","5040",0.999996583347529
3,16,7,3.41665247128914e-06,"SSP2-4.5","2071-2100",">5040",1
1,2,785062,0.431598189080054,"SSP5-8.5","2011-2040","90",0.431598189080054
1,4,394120,0.216672668248152,"SSP5-8.5","2011-2040","180",0.648270857328206
1,6,262378,0.144245766136237,"SSP5-8.5","2011-2040","270",0.792516623464443
1,8,273507,0.15036408067225,"SSP5-8.5","2011-2040","540",0.942880704136693
1,10,86830,0.0477359377448164,"SSP5-8.5","2011-2040","1080",0.99061664188151
1,12,14657,0.0080578790685912,"SSP5-8.5","2011-2040","2070",0.998674520950101
1,14,2388,0.00131283449654062,"SSP5-8.5","2011-2040","5040",0.999987355446641
1,16,23,1.26445533586408e-05,"SSP5-8.5","2011-2040",">5040",1
2,2,832011,0.413994315614744,"SSP5-8.5","2041-2070","90",0.413994315614744
2,4,435563,0.216728632304266,"SSP5-8.5","2041-2070","180",0.63072294791901
2,6,298421,0.148489139759051,"SSP5-8.5","2041-2070","270",0.77921208767806
2,8,317566,0.158015361374443,"SSP5-8.5","2041-2070","540",0.937227449052503
2,10,104208,0.0518521024861224,"SSP5-8.5","2041-2070","1080",0.989079551538625
2,12,19121,0.0095142796295596,"SSP5-8.5","2041-2070","2070",0.998593831168185
2,14,2819,0.0014026857526138,"SSP5-8.5","2041-2070","5040",0.999996516920799
2,16,7,3.48307920124037e-06,"SSP5-8.5","2041-2070",">5040",1
3,2,828072,0.413427641225936,"SSP5-8.5","2071-2100","90",0.413427641225936
3,4,434617,0.216989200391624,"SSP5-8.5","2071-2100","180",0.63041684161756
3,6,298278,0.148919864419507,"SSP5-8.5","2071-2100","270",0.779336706037066
3,8,317027,0.158280590111651,"SSP5-8.5","2071-2100","540",0.937617296148717
3,10,103423,0.0516355183347704,"SSP5-8.5","2071-2100","1080",0.989252814483488
3,12,18711,0.00934175360956353,"SSP5-8.5","2071-2100","2070",0.998594568093051
3,14,2807,0.0014014377843004,"SSP5-8.5","2071-2100","5040",0.999996005877351
3,16,8,3.9941226485227e-06,"SSP5-8.5","2071-2100",">5040",1
