"layer","value","count","prop","scenario","years","distance","sum"
1,20,10778,0.00561472894789211,"SSP2-4.5","2011-2040","90",0.00561472894789211
1,40,62002,0.0322995383398781,"SSP2-4.5","2011-2040","180",0.0379142672877702
1,60,196630,0.102433118669885,"SSP2-4.5","2011-2040","270",0.140347385957656
1,80,191430,0.0997242125157716,"SSP2-4.5","2011-2040","540",0.240071598473427
1,100,396934,0.20678018372635,"SSP2-4.5","2011-2040","1080",0.446851782199778
1,120,1059632,0.55200839344153,"SSP2-4.5","2011-2040","2070",0.998860175641307
1,-20,2188,0.00113982435869252,"SSP2-4.5","2011-2040",">2070",1
2,20,13732,0.0064739688182131,"SSP2-4.5","2041-2070","90",0.0064739688182131
2,40,73561,0.0346804267576882,"SSP2-4.5","2041-2070","180",0.0411543955759013
2,60,227579,0.107292408220224,"SSP2-4.5","2041-2070","270",0.148446803796126
2,80,219008,0.103251599398428,"SSP2-4.5","2041-2070","540",0.251698403194554
2,100,445813,0.21017910433688,"SSP2-4.5","2041-2070","1080",0.461877507531434
2,120,1139354,0.537149888501775,"SSP2-4.5","2041-2070","2070",0.999027396033209
2,-20,2063,0.000972603966790973,"SSP2-4.5","2041-2070",">2070",1
3,20,13256,0.00628984235062455,"SSP2-4.5","2071-2100","90",0.00628984235062455
3,40,72396,0.034351193936015,"SSP2-4.5","2071-2100","180",0.0406410362866395
3,60,225800,0.107139891578985,"SSP2-4.5","2071-2100","270",0.147780927865624
3,80,218428,0.103641949680312,"SSP2-4.5","2071-2100","540",0.251422877545937
3,100,444782,0.211044708840939,"SSP2-4.5","2071-2100","1080",0.462467586386876
3,120,1131143,0.536716290435463,"SSP2-4.5","2071-2100","2070",0.999183876822339
3,-20,1720,0.000816123177661,"SSP2-4.5","2071-2100",">2070",1
1,20,10223,0.00552010358766236,"SSP5-8.5","2011-2040","90",0.00552010358766236
1,40,59847,0.0323155276739537,"SSP5-8.5","2011-2040","180",0.0378356312616161
1,60,191110,0.103193484949443,"SSP5-8.5","2011-2040","270",0.141029116211059
1,80,185666,0.100253893446828,"SSP5-8.5","2011-2040","540",0.241283009657886
1,100,383603,0.207133747093617,"SSP5-8.5","2011-2040","1080",0.448416756751503
1,120,1019719,0.550616698650833,"SSP5-8.5","2011-2040","2070",0.999033455402336
1,-20,1790,0.000966544597663662,"SSP5-8.5","2011-2040",">2070",1
2,20,12808,0.00625496299667815,"SSP5-8.5","2041-2070","90",0.00625496299667815
2,40,70165,0.0342660429935917,"SSP5-8.5","2041-2070","180",0.0405210059902698
2,60,219573,0.10723149516471,"SSP5-8.5","2041-2070","270",0.14775250115498
2,80,212364,0.103710880842174,"SSP5-8.5","2041-2070","540",0.251463381997154
2,100,432211,0.211076187676238,"SSP5-8.5","2041-2070","1080",0.462539569673392
2,120,1098866,0.536646327944077,"SSP5-8.5","2041-2070","2070",0.999185897617469
2,-20,1667,0.000814102382531424,"SSP5-8.5","2041-2070",">2070",1
3,20,12683,0.00607358505293735,"SSP5-8.5","2071-2100","90",0.00607358505293735
3,40,69182,0.0331296034954121,"SSP5-8.5","2071-2100","180",0.0392031885483495
3,60,222060,0.106339217602718,"SSP5-8.5","2071-2100","270",0.145542406151067
3,80,216389,0.103623511473631,"SSP5-8.5","2071-2100","540",0.249165917624698
3,100,442212,0.211764739685369,"SSP5-8.5","2071-2100","1080",0.460930657310067
3,120,1123669,0.538098182042818,"SSP5-8.5","2071-2100","2070",0.999028839352885
3,-20,2028,0.000971160647114796,"SSP5-8.5","2071-2100",">2070",1
