"layer","value","count","prop","scenario","years","distance"
1,-10,2140,0.00112285621039177,"SSP2-4.5","2011-2040",">2070"
1,10,10907,0.0057228937788519,"SSP2-4.5","2011-2040","90"
1,20,65891,0.0345729525976282,"SSP2-4.5","2011-2040","180"
1,30,205749,0.107956328239204,"SSP2-4.5","2011-2040","270"
1,40,193498,0.101528238784293,"SSP2-4.5","2011-2040","540"
1,50,392933,0.206171616503678,"SSP2-4.5","2011-2040","1080"
1,60,1034736,0.542925113885953,"SSP2-4.5","2011-2040","2070"
2,-10,2881,0.00113947380910946,"SSP2-4.5","2041-2070",">2070"
2,10,23793,0.0094104478792577,"SSP2-4.5","2041-2070","90"
2,20,124870,0.0493877454160009,"SSP2-4.5","2041-2070","180"
2,30,329089,0.130159075448117,"SSP2-4.5","2041-2070","270"
2,40,282717,0.11181833283235,"SSP2-4.5","2041-2070","540"
2,50,529711,0.209507744150358,"SSP2-4.5","2041-2070","1080"
2,60,1235299,0.488577180464807,"SSP2-4.5","2041-2070","2070"
3,-10,3530,0.00126380971679922,"SSP2-4.5","2071-2100",">2070"
3,10,33012,0.0118189479804464,"SSP2-4.5","2071-2100","90"
3,20,162848,0.0583028002156711,"SSP2-4.5","2071-2100","180"
3,30,395496,0.141595378967485,"SSP2-4.5","2071-2100","270"
3,40,323017,0.115646465521624,"SSP2-4.5","2071-2100","540"
3,50,582885,0.208684341863035,"SSP2-4.5","2071-2100","1080"
3,60,1292354,0.462688255734939,"SSP2-4.5","2071-2100","2070"
1,-10,1892,0.000996136548629049,"SSP5-8.5","2011-2040",">2070"
1,10,11580,0.00609686111687335,"SSP5-8.5","2011-2040","90"
1,20,69835,0.0367680739289163,"SSP5-8.5","2011-2040","180"
1,30,212552,0.111908464949367,"SSP5-8.5","2011-2040","270"
1,40,197026,0.103734037859507,"SSP5-8.5","2011-2040","540"
1,50,393204,0.207021604369522,"SSP5-8.5","2011-2040","1080"
1,60,1013249,0.533474821227185,"SSP5-8.5","2011-2040","2070"
2,-10,3733,0.00136601173972372,"SSP5-8.5","2041-2070",">2070"
2,10,33746,0.0123486290299267,"SSP5-8.5","2041-2070","90"
2,20,161772,0.059197013436535,"SSP5-8.5","2041-2070","180"
2,30,389647,0.142583010004856,"SSP5-8.5","2041-2070","270"
2,40,316694,0.115887415456754,"SSP5-8.5","2041-2070","540"
2,50,568981,0.208206462812681,"SSP5-8.5","2041-2070","1080"
2,60,1258200,0.460411457519523,"SSP5-8.5","2041-2070","2070"
3,-10,6959,0.00209360669256172,"SSP5-8.5","2071-2100",">2070"
3,10,58899,0.0177196925686439,"SSP5-8.5","2071-2100","90"
3,20,268641,0.0808203183642009,"SSP5-8.5","2071-2100","180"
3,30,540065,0.162477898896156,"SSP5-8.5","2071-2100","270"
3,40,396685,0.119342200149281,"SSP5-8.5","2071-2100","540"
3,50,670946,0.201853288683362,"SSP5-8.5","2071-2100","1080"
3,60,1381734,0.415692994645794,"SSP5-8.5","2071-2100","2070"
