"layer","value","count","scenario","percent"
"2011-2040","90 m",232968,"SSP2-4.5",5
"2011-2040","180 m",576582,"SSP2-4.5",12
"2011-2040","270 m",486177,"SSP2-4.5",10
"2011-2040","540 m",889780,"SSP2-4.5",19
"2011-2040","1080 m",2564110,"SSP2-4.5",54
"2041-2070","90 m",296855,"SSP2-4.5",6
"2041-2070","180 m",685595,"SSP2-4.5",13
"2041-2070","270 m",546566,"SSP2-4.5",11
"2041-2070","540 m",958765,"SSP2-4.5",19
"2041-2070","1080 m",2625370,"SSP2-4.5",51
"2071-2100","90 m",315648,"SSP2-4.5",6
"2071-2100","180 m",703438,"SSP2-4.5",14
"2071-2100","270 m",547819,"SSP2-4.5",11
"2071-2100","540 m",946224,"SSP2-4.5",18
"2071-2100","1080 m",2645495,"SSP2-4.5",51
"2011-2040","90 m",233285,"SSP5-8.5",5
"2011-2040","180 m",575655,"SSP5-8.5",12
"2011-2040","270 m",484034,"SSP5-8.5",10
"2011-2040","540 m",884008,"SSP5-8.5",19
"2011-2040","1080 m",2565228,"SSP5-8.5",54
"2041-2070","90 m",314927,"SSP5-8.5",6
"2041-2070","180 m",704581,"SSP5-8.5",14
"2041-2070","270 m",549212,"SSP5-8.5",11
"2041-2070","540 m",948699,"SSP5-8.5",18
"2041-2070","1080 m",2644671,"SSP5-8.5",51
"2071-2100","90 m",398154,"SSP5-8.5",7
"2071-2100","180 m",773048,"SSP5-8.5",14
"2071-2100","270 m",558314,"SSP5-8.5",10
"2071-2100","540 m",923398,"SSP5-8.5",17
"2071-2100","1080 m",2703417,"SSP5-8.5",50
