"Class","variable","median"
"false
negative","Elevation (m)",2784.87512207031
"false
negative","Latitude (°N)",38.7472603060494
"false
negative","Longitude (°W)",-106.079502064071
"false
negative","Percent aspen",8.64197537302971
"true
negative","Elevation (m)",2530.70068359375
"true
negative","Latitude (°N)",38.5156013771145
"true
negative","Longitude (°W)",-105.974088650222
"true
negative","Percent aspen",0
"true
positive","Elevation (m)",2724.69860839844
"true
positive","Latitude (°N)",39.0808771964255
"true
positive","Longitude (°W)",-107.159360102106
"true
positive","Percent aspen",30.8641970157623
"false
positive","Elevation (m)",2802.62145996094
"false
positive","Latitude (°N)",38.7067171226415
"false
positive","Longitude (°W)",-106.830077657632
"false
positive","Percent aspen",0
