"Class","variable","median"
"false
negative","Elevation (m)",2709.4482421875
"false
negative","Latitude (°N)",38.6842059459366
"false
negative","Longitude (°W)",106.06416005886
"false
negative","Percent aspen",8.64197537302971
"true
negative","Elevation (m)",2509.14050292969
"true
negative","Latitude (°N)",38.4859347525975
"true
negative","Longitude (°W)",105.898508022211
"true
negative","Percent aspen",0
"true
positive","Elevation (m)",2740.00659179688
"true
positive","Latitude (°N)",39.1165716863633
"true
positive","Longitude (°W)",107.105516766891
"true
positive","Percent aspen",29.6296298503876
"false
positive","Elevation (m)",2819.31860351562
"false
positive","Latitude (°N)",38.7871804095958
"false
positive","Longitude (°W)",106.737828972461
"false
positive","Percent aspen",0
