"layer","level","class","id","metric","value"
1,"patch",0,1,"area",31167.18
1,"patch",0,2,"area",0.81
1,"patch",0,3,"area",13.77
1,"patch",0,4,"area",0.81
1,"patch",0,5,"area",14.58
1,"patch",0,6,"area",0.81
1,"patch",0,7,"area",0.81
1,"patch",0,8,"area",8.1
1,"patch",0,9,"area",2.43
1,"patch",0,10,"area",2.43
1,"patch",0,11,"area",3.24
1,"patch",0,12,"area",0.81
1,"patch",0,13,"area",3.24
1,"patch",0,14,"area",4.05
1,"patch",0,15,"area",7.29
1,"patch",0,16,"area",0.81
1,"patch",0,17,"area",1.62
1,"patch",0,18,"area",4.05
1,"patch",0,19,"area",0.81
1,"patch",0,20,"area",0.81
1,"patch",0,21,"area",0.81
1,"patch",0,22,"area",0.81
1,"patch",0,23,"area",0.81
1,"patch",0,24,"area",117.45
1,"patch",0,25,"area",8.1
1,"patch",0,26,"area",0.81
1,"patch",0,27,"area",0.81
1,"patch",0,28,"area",2.43
1,"patch",0,29,"area",12.96
1,"patch",0,30,"area",0.81
1,"patch",0,31,"area",1.62
1,"patch",0,32,"area",1.62
1,"patch",0,33,"area",1.62
1,"patch",0,34,"area",28.35
1,"patch",0,35,"area",0.81
1,"patch",0,36,"area",0.81
1,"patch",0,37,"area",4.05
1,"patch",0,38,"area",0.81
1,"patch",0,39,"area",3.24
1,"patch",0,40,"area",0.81
1,"patch",0,41,"area",2.43
1,"patch",0,42,"area",0.81
1,"patch",0,43,"area",0.81
1,"patch",0,44,"area",4.86
1,"patch",0,45,"area",0.81
1,"patch",0,46,"area",1.62
1,"patch",0,47,"area",0.81
1,"patch",0,48,"area",0.81
1,"patch",0,49,"area",16.2
1,"patch",0,50,"area",6.48
1,"patch",0,51,"area",7.29
1,"patch",0,52,"area",0.81
1,"patch",0,53,"area",0.81
1,"patch",0,54,"area",0.81
1,"patch",0,55,"area",0.81
1,"patch",0,56,"area",2.43
1,"patch",0,57,"area",19.44
1,"patch",0,58,"area",0.81
1,"patch",0,59,"area",10.53
1,"patch",0,60,"area",5.67
1,"patch",0,61,"area",0.81
1,"patch",0,62,"area",0.81
1,"patch",0,63,"area",4.86
1,"patch",0,64,"area",0.81
1,"patch",0,65,"area",3.24
1,"patch",0,66,"area",5.67
1,"patch",0,67,"area",0.81
1,"patch",0,68,"area",13.77
1,"patch",0,69,"area",1.62
1,"patch",0,70,"area",5.67
1,"patch",0,71,"area",0.81
1,"patch",0,72,"area",1.62
1,"patch",0,73,"area",0.81
1,"patch",0,74,"area",42.93
1,"patch",0,75,"area",65.61
1,"patch",0,76,"area",1.62
1,"patch",0,77,"area",0.81
1,"patch",0,78,"area",2.43
1,"patch",0,79,"area",4.86
1,"patch",0,80,"area",0.81
1,"patch",0,81,"area",0.81
1,"patch",0,82,"area",3.24
1,"patch",0,83,"area",0.81
1,"patch",0,84,"area",0.81
1,"patch",0,85,"area",0.81
1,"patch",0,86,"area",2.43
1,"patch",0,87,"area",2.43
1,"patch",0,88,"area",4.05
1,"patch",0,89,"area",0.81
1,"patch",0,90,"area",0.81
1,"patch",0,91,"area",0.81
1,"patch",0,92,"area",7.29
1,"patch",0,93,"area",0.81
1,"patch",0,94,"area",1.62
1,"patch",0,95,"area",10.53
1,"patch",0,96,"area",1.62
1,"patch",0,97,"area",5.67
1,"patch",0,98,"area",0.81
1,"patch",0,99,"area",1.62
1,"patch",0,100,"area",29.97
1,"patch",0,101,"area",0.81
1,"patch",0,102,"area",2.43
1,"patch",0,103,"area",1.62
1,"patch",0,104,"area",0.81
1,"patch",0,105,"area",3.24
1,"patch",0,106,"area",1.62
1,"patch",0,107,"area",2.43
1,"patch",0,108,"area",1.62
1,"patch",0,109,"area",0.81
1,"patch",0,110,"area",5.67
1,"patch",0,111,"area",2.43
1,"patch",0,112,"area",0.81
1,"patch",0,113,"area",4.86
1,"patch",0,114,"area",2.43
1,"patch",0,115,"area",0.81
1,"patch",0,116,"area",0.81
1,"patch",0,117,"area",2.43
1,"patch",0,118,"area",0.81
1,"patch",0,119,"area",8.1
1,"patch",0,120,"area",0.81
1,"patch",0,121,"area",0.81
1,"patch",0,122,"area",1.62
1,"patch",0,123,"area",0.81
1,"patch",0,124,"area",0.81
1,"patch",0,125,"area",2.43
1,"patch",0,126,"area",0.81
1,"patch",0,127,"area",2.43
1,"patch",0,128,"area",0.81
1,"patch",0,129,"area",0.81
1,"patch",0,130,"area",1.62
1,"patch",0,131,"area",0.81
1,"patch",0,132,"area",0.81
1,"patch",0,133,"area",0.81
1,"patch",0,134,"area",0.81
1,"patch",0,135,"area",0.81
1,"patch",0,136,"area",0.81
1,"patch",0,137,"area",0.81
1,"patch",0,138,"area",0.81
1,"patch",0,139,"area",5.67
1,"patch",0,140,"area",0.81
1,"patch",0,141,"area",0.81
1,"patch",0,142,"area",0.81
1,"patch",0,143,"area",2.43
1,"patch",0,144,"area",0.81
1,"patch",0,145,"area",0.81
1,"patch",0,146,"area",2.43
1,"patch",0,147,"area",0.81
1,"patch",0,148,"area",0.81
1,"patch",0,149,"area",6.48
1,"patch",0,150,"area",0.81
1,"patch",0,151,"area",3.24
1,"patch",0,152,"area",5.67
1,"patch",0,153,"area",0.81
1,"patch",0,154,"area",0.81
1,"patch",0,155,"area",3.24
1,"patch",0,156,"area",2.43
1,"patch",0,157,"area",1.62
1,"patch",0,158,"area",0.81
1,"patch",0,159,"area",0.81
1,"patch",0,160,"area",2.43
1,"patch",0,161,"area",5.67
1,"patch",0,162,"area",0.81
1,"patch",0,163,"area",0.81
1,"patch",0,164,"area",0.81
1,"patch",0,165,"area",0.81
1,"patch",0,166,"area",2.43
1,"patch",0,167,"area",6.48
1,"patch",0,168,"area",0.81
1,"patch",0,169,"area",0.81
1,"patch",0,170,"area",0.81
1,"patch",0,171,"area",1.62
1,"patch",0,172,"area",6.48
1,"patch",0,173,"area",1.62
1,"patch",0,174,"area",0.81
1,"patch",0,175,"area",0.81
1,"patch",0,176,"area",0.81
1,"patch",0,177,"area",4.05
1,"patch",0,178,"area",1.62
1,"patch",0,179,"area",1.62
1,"patch",0,180,"area",0.81
1,"patch",0,181,"area",27901.26
1,"patch",0,182,"area",0.81
1,"patch",0,183,"area",0.81
