"",".metric",".estimator",".estimate","model"
"1","recall","binary",0.7922,"GLM"
"2","precision","binary",0.746232102486812,"GLM"
"3","f_meas","binary",0.768529297632907,"GLM"
"4","accuracy","binary",0.7614,"GLM"
"5","kap","binary",0.5228,"GLM"
"6","sens","binary",0.7922,"GLM"
"7","spec","binary",0.7306,"GLM"
"8","roc_auc","binary",0.844246019999999,"GLM"
"9","recall","binary",0.7732,"XGB"
"10","precision","binary",0.803408146300914,"XGB"
"11","f_meas","binary",0.788014675907053,"XGB"
"12","accuracy","binary",0.792,"XGB"
"13","kap","binary",0.584,"XGB"
"14","sens","binary",0.7732,"XGB"
"15","spec","binary",0.8108,"XGB"
"16","roc_auc","binary",0.87943496,"XGB"
"17","recall","binary",0.813,"RF"
"18","precision","binary",0.78718048024787,"RF"
"19","f_meas","binary",0.799881936245573,"RF"
"20","accuracy","binary",0.7966,"RF"
"21","kap","binary",0.5932,"RF"
"22","sens","binary",0.813,"RF"
"23","spec","binary",0.7802,"RF"
"24","roc_auc","binary",0.884254999999997,"RF"
"25","recall","binary",0.7222,"GAM"
"26","precision","binary",0.798363917753703,"GAM"
"27","f_meas","binary",0.758374461829255,"GAM"
"28","accuracy","binary",0.7699,"GAM"
"29","kap","binary",0.5398,"GAM"
"30","sens","binary",0.7222,"GAM"
"31","spec","binary",0.8176,"GAM"
"32","roc_auc","binary",0.853477800000002,"GAM"
"33","recall","binary",0.762,"Ensemble"
"34","precision","binary",0.802781289506953,"Ensemble"
"35","f_meas","binary",0.781859224297148,"Ensemble"
"36","accuracy","binary",0.7874,"Ensemble"
"37","kap","binary",0.5748,"Ensemble"
"38","sens","binary",0.762,"Ensemble"
"39","spec","binary",0.8128,"Ensemble"
"40","roc_auc","binary",0.874314920000007,"Ensemble"
