"","variable","permutation","dropout_loss","label","Model"
"1","_full_model_",0,1,"workflow","GLM"
"2","aspen.prob",0,1,"workflow","GLM"
"3","cell",0,1,"workflow","GLM"
"4","x",0,1,"workflow","GLM"
"5","y",0,1,"workflow","GLM"
"6","tpi15",0,1,"workflow","GLM"
"7","hli",0,1,"workflow","GLM"
"8","elev",0,1,"workflow","GLM"
"9","pH",0,1,"workflow","GLM"
"10","clay",0,1,"workflow","GLM"
"11","GSP",0,1,"workflow","GLM"
"12","DD_0",0,1,"workflow","GLM"
"13","thetas",0,1.00896159465125,"workflow","GLM"
"14","TD",0,1.02493955320329,"workflow","GLM"
"15","RH",0,1.03135796562713,"workflow","GLM"
"16","tpi3",0,1.07537838293989,"workflow","GLM"
"17","om",0,1.12461029266773,"workflow","GLM"
"18","GSPDD5",0,1.22467929208885,"workflow","GLM"
"19","ADI",0,1.40860991573945,"workflow","GLM"
"20","PRATIO",0,1.73391340350789,"workflow","GLM"
"21","_baseline_",0,2.94415125449479,"workflow","GLM"
"22","_full_model_",1,1.07930261355717,"workflow","GLM"
"23","aspen.prob",1,1.07930261355717,"workflow","GLM"
"24","cell",1,1.07930261355717,"workflow","GLM"
"25","x",1,1.07930261355717,"workflow","GLM"
"26","y",1,1.07930261355717,"workflow","GLM"
"27","tpi3",1,1.15721961885005,"workflow","GLM"
"28","tpi15",1,1.07930261355717,"workflow","GLM"
"29","hli",1,1.07930261355717,"workflow","GLM"
"30","elev",1,1.07930261355717,"workflow","GLM"
"31","pH",1,1.07930261355717,"workflow","GLM"
"32","clay",1,1.07930261355717,"workflow","GLM"
"33","om",1,1.12607621523298,"workflow","GLM"
"34","thetas",1,1.09462863111477,"workflow","GLM"
"35","ADI",1,1.56234124937291,"workflow","GLM"
"36","PRATIO",1,1.76115830462028,"workflow","GLM"
"37","GSPDD5",1,1.36132473511728,"workflow","GLM"
"38","GSP",1,1.07930261355717,"workflow","GLM"
"39","TD",1,1.13215982525586,"workflow","GLM"
"40","DD_0",1,1.07930261355717,"workflow","GLM"
"41","RH",1,1.0943712476138,"workflow","GLM"
"42","_baseline_",1,2.80084725752851,"workflow","GLM"
"43","_full_model_",2,0.94582302043449,"workflow","GLM"
"44","aspen.prob",2,0.94582302043449,"workflow","GLM"
"45","cell",2,0.94582302043449,"workflow","GLM"
"46","x",2,0.94582302043449,"workflow","GLM"
"47","y",2,0.94582302043449,"workflow","GLM"
"48","tpi3",2,1.05312579982613,"workflow","GLM"
"49","tpi15",2,0.94582302043449,"workflow","GLM"
"50","hli",2,0.94582302043449,"workflow","GLM"
"51","elev",2,0.94582302043449,"workflow","GLM"
"52","pH",2,0.94582302043449,"workflow","GLM"
"53","clay",2,0.94582302043449,"workflow","GLM"
"54","om",2,1.04675622844672,"workflow","GLM"
"55","thetas",2,0.951819283601191,"workflow","GLM"
"56","ADI",2,1.41108171229111,"workflow","GLM"
"57","PRATIO",2,1.64659253098631,"workflow","GLM"
"58","GSPDD5",2,1.2013758237997,"workflow","GLM"
"59","GSP",2,0.94582302043449,"workflow","GLM"
"60","TD",2,0.970858002449546,"workflow","GLM"
"61","DD_0",2,0.94582302043449,"workflow","GLM"
