"","variable","permutation","dropout_loss","label","Model"
"1","_full_model_",0,0,"workflow","RF"
"2","aspen.prob",0,0,"workflow","RF"
"3","cell",0,0,"workflow","RF"
"4","tpi15",0,0,"workflow","RF"
"5","pH",0,0,"workflow","RF"
"6","GSP",0,0,"workflow","RF"
"7","TD",0,0,"workflow","RF"
"8","clay",0,0.00459266865304014,"workflow","RF"
"9","thetas",0,0.0050207332781545,"workflow","RF"
"10","hli",0,0.00611530553119999,"workflow","RF"
"11","RH",0,0.00947989222864107,"workflow","RF"
"12","y",0,0.0111699493449191,"workflow","RF"
"13","om",0,0.0130666669672289,"workflow","RF"
"14","tpi3",0,0.0131218370641704,"workflow","RF"
"15","elev",0,0.014125076108478,"workflow","RF"
"16","DD_0",0,0.0141879921817404,"workflow","RF"
"17","ADI",0,0.0188272818238484,"workflow","RF"
"18","PRATIO",0,0.0249093037285957,"workflow","RF"
"19","x",0,0.0267652306608528,"workflow","RF"
"20","_baseline_",0,0.365499468943278,"workflow","RF"
"21","_full_model_",1,0.0120188078488939,"workflow","RF"
"22","aspen.prob",1,0.0120188078488939,"workflow","RF"
"23","cell",1,0.0120188078488939,"workflow","RF"
"24","x",1,0.0419110149809176,"workflow","RF"
"25","y",1,0.0215572558397358,"workflow","RF"
"26","tpi3",1,0.0292504564433451,"workflow","RF"
"27","tpi15",1,0.0120188078488939,"workflow","RF"
"28","hli",1,0.0189955241090896,"workflow","RF"
"29","elev",1,0.0266807193010365,"workflow","RF"
"30","pH",1,0.0120188078488939,"workflow","RF"
"31","clay",1,0.0179308043585322,"workflow","RF"
"32","om",1,0.0259362160168142,"workflow","RF"
"33","thetas",1,0.0178587556536098,"workflow","RF"
"34","ADI",1,0.0298108352594216,"workflow","RF"
"35","PRATIO",1,0.0400657675936815,"workflow","RF"
"36","DD_0",1,0.0266647084777211,"workflow","RF"
"37","GSP",1,0.0120188078488939,"workflow","RF"
"38","TD",1,0.0120188078488939,"workflow","RF"
"39","RH",1,0.016625922258236,"workflow","RF"
"40","_baseline_",1,0.345007908480921,"workflow","RF"
"41","_full_model_",2,-0.0212910951742525,"workflow","RF"
"42","aspen.prob",2,-0.0212910951742525,"workflow","RF"
"43","cell",2,-0.0212910951742525,"workflow","RF"
"44","x",2,0.00179824583416299,"workflow","RF"
"45","y",2,-0.0125224332264023,"workflow","RF"
"46","tpi3",2,-0.00866085711049225,"workflow","RF"
"47","tpi15",2,-0.0212910951742525,"workflow","RF"
"48","hli",2,-0.0182707337723889,"workflow","RF"
"49","elev",2,-0.00916158015456658,"workflow","RF"
"50","pH",2,-0.0212910951742525,"workflow","RF"
"51","clay",2,-0.0188675956409246,"workflow","RF"
"52","om",2,-0.00469112481705958,"workflow","RF"
