"","variable","permutation","dropout_loss","label","Model"
"1","_full_model_",0,0,"workflow","XGB"
"2","aspen.prob",0,0,"workflow","XGB"
"3","cell",0,0,"workflow","XGB"
"4","tpi15",0,0,"workflow","XGB"
"5","pH",0,0,"workflow","XGB"
"6","GSP",0,0,"workflow","XGB"
"7","TD",0,0,"workflow","XGB"
"8","thetas",0,0.00148391552550506,"workflow","XGB"
"9","clay",0,0.00177094138480682,"workflow","XGB"
"10","RH",0,0.00787923981973768,"workflow","XGB"
"11","hli",0,0.00865943119091264,"workflow","XGB"
"12","DD_0",0,0.00999910062247955,"workflow","XGB"
"13","y",0,0.0170646763805252,"workflow","XGB"
"14","tpi3",0,0.0175770250938914,"workflow","XGB"
"15","om",0,0.0203752953985221,"workflow","XGB"
"16","PRATIO",0,0.0209098452851205,"workflow","XGB"
"17","x",0,0.0319780168300907,"workflow","XGB"
"18","elev",0,0.0350137208793032,"workflow","XGB"
"19","ADI",0,0.053124323546349,"workflow","XGB"
"20","_baseline_",0,0.371793635772635,"workflow","XGB"
"21","_full_model_",1,-0.00769104429735512,"workflow","XGB"
"22","aspen.prob",1,-0.00769104429735512,"workflow","XGB"
"23","cell",1,-0.00769104429735512,"workflow","XGB"
"24","x",1,0.0311145437073204,"workflow","XGB"
"25","y",1,0.0122998343891726,"workflow","XGB"
"26","tpi3",1,0.0123478413021716,"workflow","XGB"
"27","tpi15",1,-0.00769104429735512,"workflow","XGB"
"28","hli",1,0.000682161444274909,"workflow","XGB"
"29","elev",1,0.03024641869732,"workflow","XGB"
"30","pH",1,-0.00769104429735512,"workflow","XGB"
"31","clay",1,-0.00688292792859913,"workflow","XGB"
"32","om",1,0.0168444888194157,"workflow","XGB"
"33","thetas",1,-0.00576676720145397,"workflow","XGB"
"34","ADI",1,0.0321666952171344,"workflow","XGB"
"35","PRATIO",1,0.0126038781714807,"workflow","XGB"
"36","DD_0",1,0.0017183106497598,"workflow","XGB"
"37","GSP",1,-0.00769104429735512,"workflow","XGB"
"38","TD",1,-0.00769104429735512,"workflow","XGB"
"39","RH",1,-0.00245829078084936,"workflow","XGB"
"40","_baseline_",1,0.355409242143893,"workflow","XGB"
"41","_full_model_",2,0.00559495853209901,"workflow","XGB"
"42","aspen.prob",2,0.00559495853209901,"workflow","XGB"
"43","cell",2,0.00559495853209901,"workflow","XGB"
"44","x",2,0.0381775152804832,"workflow","XGB"
"45","y",2,0.0239409026179788,"workflow","XGB"
"46","tpi3",2,0.0204157604719226,"workflow","XGB"
"47","tpi15",2,0.00559495853209901,"workflow","XGB"
"48","hli",2,0.0123451455927055,"workflow","XGB"
"49","elev",2,0.0257174782284834,"workflow","XGB"
"50","pH",2,0.00559495853209901,"workflow","XGB"
"51","clay",2,0.00680735134737032,"workflow","XGB"
"52","om",2,0.0248011813482908,"workflow","XGB"
"53","thetas",2,0.00537888852541613,"workflow","XGB"
"54","ADI",2,0.0555311378541993,"workflow","XGB"
"55","PRATIO",2,0.0249612332050902,"workflow","XGB"
"56","DD_0",2,0.0219602608900643,"workflow","XGB"
"57","GSP",2,0.00559495853209901,"workflow","XGB"
"58","TD",2,0.00559495853209901,"workflow","XGB"
"59","RH",2,0.017186714260954,"workflow","XGB"
"60","_baseline_",2,0.343724512507585,"workflow","XGB"
"61","_full_model_",3,-0.00164246828789683,"workflow","XGB"
"62","aspen.prob",3,-0.00164246828789683,"workflow","XGB"
"63","cell",3,-0.00164246828789683,"workflow","XGB"
"64","x",3,0.0369282453543806,"workflow","XGB"
"65","y",3,0.0230677709273989,"workflow","XGB"
"66","tpi3",3,0.0186798217731599,"workflow","XGB"
"67","tpi15",3,-0.00164246828789683,"workflow","XGB"
"68","hli",3,0.0109208386883837,"workflow","XGB"
"69","elev",3,0.029409478464181,"workflow","XGB"
"70","pH",3,-0.00164246828789683,"workflow","XGB"
"71","clay",3,0.000631578354081674,"workflow","XGB"
"72","om",3,0.0210259332735092,"workflow","XGB"
"73","thetas",3,-4.50305939706519e-05,"workflow","XGB"
"74","ADI",3,0.0531468420914439,"workflow","XGB"
"75","PRATIO",3,0.0270993993930155,"workflow","XGB"
"76","DD_0",3,0.00926735054905548,"workflow","XGB"
"77","GSP",3,-0.00164246828789683,"workflow","XGB"
"78","TD",3,-0.00164246828789683,"workflow","XGB"
"79","RH",3,0.00834652180318585,"workflow","XGB"
"80","_baseline_",3,0.388072274981045,"workflow","XGB"
"81","_full_model_",4,-0.0113729235663121,"workflow","XGB"
"82","aspen.prob",4,-0.0113729235663121,"workflow","XGB"
"83","cell",4,-0.0113729235663121,"workflow","XGB"
"84","x",4,0.0300297262032716,"workflow","XGB"
"85","y",4,0.00528014222990014,"workflow","XGB"
"86","tpi3",4,0.0166848721326115,"workflow","XGB"
"87","tpi15",4,-0.0113729235663121,"workflow","XGB"
"88","hli",4,0.00243596020225056,"workflow","XGB"
"89","elev",4,0.0305377587173543,"workflow","XGB"
"90","pH",4,-0.0113729235663121,"workflow","XGB"
"91","clay",4,-0.00790070134408938,"workflow","XGB"
"92","om",4,0.00964442154377587,"workflow","XGB"
"93","thetas",4,-0.0114249268945235,"workflow","XGB"
"94","ADI",4,0.0443786445340482,"workflow","XGB"
"95","PRATIO",4,0.0140287021377342,"workflow","XGB"
"96","DD_0",4,0.0020199335765454,"workflow","XGB"
"97","GSP",4,-0.0113729235663121,"workflow","XGB"
"98","TD",4,-0.0113729235663121,"workflow","XGB"
"99","RH",4,-0.00356442382232636,"workflow","XGB"
"100","_baseline_",4,0.376535902598563,"workflow","XGB"
"101","_full_model_",5,-0.015127159131505,"workflow","XGB"
"102","aspen.prob",5,-0.015127159131505,"workflow","XGB"
"103","cell",5,-0.015127159131505,"workflow","XGB"
"104","x",5,0.0179540733614934,"workflow","XGB"
"105","y",5,-0.0014616929450304,"workflow","XGB"
"106","tpi3",5,-0.00302231719473267,"workflow","XGB"
"107","tpi15",5,-0.015127159131505,"workflow","XGB"
"108","hli",5,-0.00703192103626649,"workflow","XGB"
"109","elev",5,0.0248168184595314,"workflow","XGB"
"110","pH",5,-0.015127159131505,"workflow","XGB"
"111","clay",5,-0.0146149542495513,"workflow","XGB"
"112","om",5,0.00863434547033382,"workflow","XGB"
"113","thetas",5,-0.0111495680950933,"workflow","XGB"
"114","ADI",5,0.037713977323077,"workflow","XGB"
"115","PRATIO",5,0.0085423086556109,"workflow","XGB"
"116","DD_0",5,-0.00397869974775211,"workflow","XGB"
"117","GSP",5,-0.015127159131505,"workflow","XGB"
"118","TD",5,-0.015127159131505,"workflow","XGB"
"119","RH",5,-0.00637966013190594,"workflow","XGB"
"120","_baseline_",5,0.379158555154209,"workflow","XGB"
"121","_full_model_",6,-0.00579028697806261,"workflow","XGB"
"122","aspen.prob",6,-0.00579028697806261,"workflow","XGB"
"123","cell",6,-0.00579028697806261,"workflow","XGB"
"124","x",6,0.0204140879016603,"workflow","XGB"
"125","y",6,0.0061772863107945,"workflow","XGB"
"126","tpi3",6,0.00882338291737672,"workflow","XGB"
"127","tpi15",6,-0.00579028697806261,"workflow","XGB"
"128","hli",6,0.00179518996080497,"workflow","XGB"
"129","elev",6,0.0464300286290967,"workflow","XGB"
"130","pH",6,-0.00579028697806261,"workflow","XGB"
"131","clay",6,-0.0044953033357531,"workflow","XGB"
"132","om",6,0.0162605180767836,"workflow","XGB"
"133","thetas",6,-0.00345290164225154,"workflow","XGB"
"134","ADI",6,0.0409052996535358,"workflow","XGB"
"135","PRATIO",6,0.0166413956186376,"workflow","XGB"
"136","DD_0",6,0.00540751275251594,"workflow","XGB"
